icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
M61,Calcification and ossification of muscle,35524003,Arthropathy associated with another disorder (disorder),F4A3200,Keratoconjunctivitis sicca (excluding Sjogren's syndrome)
M610,Myositis ossificans traumatica,39992005,Arthropathy associated with nonspecific urethritis (disorder),H57y300,Lung disease with Sjogren's disease
M611,Myositis ossificans progressiva,43442006,Hydrarthrosis of yaws (disorder),N002.11,Keratoconjunctivitis sicca
M612,Paralytic calcification and ossification of muscle,51891008,Polyarthropathy associated with another disorder (disorder),Nyu4600,[X]Other overlap syndromes
M613,Calcification and ossification of muscles associated with burns,91291006,Arthropathy associated with another systemic disease (disorder),Nyu4F00,[X]Mixed connective tissue disease
M614,Other calcification of muscle,201517005,Seronegative arthritis secondary to Whipple's disease (disorder),N012y00,Arthropathy in Behcet's syndrome of other specified sites
M615,Other ossification of muscle,201726005,Arthropathy associated with non-infective gastrointestinal disorder (disorder),N012011,Behcet's syndrome arthropathy
M619,"Calcification and ossification of muscle, unspecified",201732000,Arthropathy associated with dermatological disorder (disorder),N012z00,Arthropathy in Behcet's syndrome NOS
M622,Ischaemic infarction of muscle,201733005,Arthropathy associated with respiratory disorder (disorder),N012.00,Arthropathy in Behcet's syndrome
M628,Other specified disorders of muscle,58144006,Benign cutaneous periarteritis nodosa (disorder),N012000,Arthropathy in Behcet's syndrome of unspecified site
M638,Other disorders of muscle in diseases classified elsewhere,76805007,Periarteritis (disorder),N012300,Arthropathy in Behcet's syndrome of the forearm
M801,Postoophorectomy osteoporosis with pathological fracture,91604001,Dilated cardiomyopathy secondary to polyarteritis nodosa (disorder),N012600,Arthropathy in Behcet's syndrome of the lower leg
M802,Osteoporosis of disuse with pathological fracture,155441006,Polyarteritis nodosa (disorder),K425200,Ulceration of vulva in Behcet's disease
M803,Postsurgical malabsorption osteoporosis with pathological fracture,193179000,Polyneuropathy in polyarteritis nodosa (disorder),N012100,Arthropathy in Behcet's syndrome of the shoulder region
M804,Drug-induced osteoporosis with pathological fracture,193249002,Myopathy due to polyarteritis nodosa (disorder),N012200,Arthropathy in Behcet's syndrome of the upper arm
M805,Idiopathic osteoporosis with pathological fracture,197607004,Nephrotic syndrome in polyarteritis nodosa (disorder),N012400,Arthropathy in Behcet's syndrome of the hand
M808,Other osteoporosis with pathological fracture,239925001,Polyarteritis nodosa with single organ involvement (disorder),N012500,Arthropathy in Behcet's syndrome of the pelvic region and thigh
M809,Unspecified osteoporosis with pathological fracture,239926000,Cutaneous polyarteritis nodosa (disorder),N012700,Arthropathy in Behcet's syndrome of the ankle and foot
M811,Postoophorectomy osteoporosis,239927009,Polyarteritis nodosa with multi-organ involvement (disorder),N012x00,Arthropathy in Behcet's syndrome of multiple sites
M812,Osteoporosis of disuse,416703007,Retinal vasculitis due to polyarteritis nodosa (disorder),AD61.00,Behcet's syndrome
M813,Postsurgical malabsorption osteoporosis,82275008,Allergic granulomatosis angiitis (disorder),N20..00,Polymyalgia rheumatica
M814,Drug-induced osteoporosis,230734005,Granulomatous angiitis of central nervous system (disorder),N20..11,Polymyalgia
M815,Idiopathic osteoporosis,3.17931E+14,Pulmonary disease due to allergic granulomatosis angiitis (disorder),N00y000,Eosinophilic fasciitis
M816,Localized osteoporosis [Lequesne],195363007,Juvenile polyarteritis (disorder),N00y.11,Fibrosclerosis - systemic
M818,Other osteoporosis,230733004,Isolated angiitis of central nervous system (disorder),N00y100,Fibrosclerosis systemic
M819,"Osteoporosis, unspecified",239931003,Polyangiitis overlap syndrome (disorder),N243200,Weber - Christian disease
M82,Osteoporosis in diseases classified elsewhere,770687001,Vasculitis due to adenosine deaminase 2 deficiency (disorder),N243011,Weber - Christian disease
M820,Osteoporosis in multiple myelomatosis,50581000,Goodpasture's syndrome (disorder),N235.00,Hypermobility syndrome
M821,Osteoporosis in endocrine disorders,60555002,Hypersensitivity angiitis (disorder),N233400,Antisynthetase syndrome
M828,Osteoporosis in other diseases classified elsewhere,236432001,Pulmonary renal syndrome (disorder),N00z.00,Collagen disease NOS
M850,Fibrous dysplasia (monostotic),236506009,Goodpasture's disease (disorder),C394.00,Autoimmune disease NOS
M851,Skeletal fluorosis,238806009,Infantile acute hemorrhagic edema (disorder),N....11,Connective tissue diseases
M852,Hyperostosis of skull,718217000,Cutaneous leukocytoclastic angiitis (disorder),N00..11,Collagen diseases
M855,Aneurysmal bone cyst,788613004,Anti-glomerular basement membrane disease (disorder),Nyu4.00,[X]Systemic connective tissue disorders
M863,Chronic multifocal osteomyelitis,78129009,Thrombotic thrombocytopenic purpura (disorder),Nyu4700,[X]Other systemic diseases of connective tissue
M864,Chronic osteomyelitis with draining sinus,126729006,Thrombotic microangiopathy (disorder),N00..00,Diffuse diseases of connective tissue
M865,Other chronic haematogenous osteomyelitis,373420004,Upshaw-Schulman syndrome (disorder),Nyu4C00,[X]Systemic disorders of connective tissue in other diseases classified elsewhere
M866,Other chronic osteomyelitis,438476003,Autoimmune thrombotic thrombocytopenic purpura (disorder),Myu7900,[X]Other specified localized connective tissue disorders
M890,Algoneurodystrophy,439007008,Acquired thrombotic thrombocytopenic purpura (disorder),N00y.00,Other specified diffuse collagen diseases
M892,Other disorders of bone development and growth,58961005,Lethal midline granuloma (disorder),M2V..00,"Localized connective tissue disorder, unspecified"
M894,Other hypertrophic osteoarthropathy,111901001,Bronchocentric granulomatosis (disorder),Myu7F00,"[X]Localized connective tissue disorder, unspecified"
M895,Osteolysis,195353004,Granulomatosis with polyangiitis (disorder),F371.00,Polyneuropathy in collagen vascular disease
M896,Osteopathy after poliomyelitis,232369001,Granulomatosis with polyangiitis of nose (disorder),F371z00,Polyneuropathy in collagen vascular disease NOS
M904,Osteonecrosis due to haemoglobinopathy,232460001,Granulomatosis with polyangiitis of larynx (disorder),Fyu7700,[X]Polyneuropathy in systemic connective tissue disorders classified elsewhere
M906,Osteitis deformans in neoplastic disease,235000001,Granulomatosis with polyangiitis of gingiva (disorder),H58y600,Interstitial lung disease due to collagen vascular disease
M907,Fracture of bone in neoplastic disease,239935007,Limited granulomatosis with polyangiitis (disorder),N003100,Dermatopolymyositis in neoplastic disease
M908,Osteopathy in other diseases classified elsewhere,239936008,Granulomatosis with polyangiitis with multisystem involvement (disorder),Nyu4800,[X]Dermato(poly)myositis in neoplastic disease classified elsewhere
M91,Juvenile osteochondrosis of hip and pelvis,416879000,Scleritis due to granulomatosis with polyangiitis (disorder),N069.00,Arthropathy in neoplastic disease
M910,Juvenile osteochondrosis of pelvis,427555000,Glomerulonephritis due to granulomatosis with polyangiitis (disorder),Nyu4900,[X]Arthropathy in neoplastic disease classified elsewhere
M911,Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes],359789008,Takayasu's disease (disorder),N032000,Arthropathy due to haemophilia
M912,Coxa plana,838309004,Cerebrovascular abnormality due to Takayasu disease (disorder),N068.00,Haemophilic arthropathy
M913,Pseudocoxalgia,239938009,Giant cell arteritis with polymyalgia rheumatica (disorder),N032.00,Arthropathy associated with haematological disorders
M918,Other juvenile osteochondrosis of hip and pelvis,230732009,Cerebral arteritis in giant cell arteritis (disorder),N1y0.00,Recurrent atlantoaxial subluxation with myelopathy
M919,"Juvenile osteochondrosis of hip and pelvis, unspecified",239939001,Giant cell arteritis without polymyalgia rheumatica (disorder),N102.00,Sacroiliitis NEC
M92,Other juvenile osteochondrosis,400130008,Temporal arteritis (disorder),N05zK00,"Osteoarthritis NOS, of sacro-iliac joint"
M920,Juvenile osteochondrosis of humerus,838363001,Arteritic anterior ischemic optic neuropathy due to giant cell arteritis (disorder),F163200,Myelopathy due to spondylosis
M921,Juvenile osteochondrosis of radius and ulna,239928004,Microscopic polyarteritis nodosa (disorder),N11z100,"Spondylosis with myelopathy, NOS"
M922,Juvenile osteochondrosis of hand,239929007,Microscopic polyarteritis nodosa with single organ involvement (disorder),N12B000,Cervical disc prolapse with myelopathy
M923,Other juvenile osteochondrosis of upper limb,239930002,Microscopic polyarteritis nodosa with multi-organ involvement (disorder),N12C000,Cervical disc prolapse with radiculopathy
M924,Juvenile osteochondrosis of patella,724502006,Respiratory disorder co-occurrent and due to microscopic polyangiitis (disorder),N12zH00,Cervical disc disorder with radiculopathy
M925,Juvenile osteochondrosis of tibia and fibula,239924002,Primary necrotizing systemic vasculitis (disorder),N120.12,Cervical disc displacement
M926,Juvenile osteochondrosis of tarsus,239945009,Hypocomplementemic urticarial vasculitis (disorder),N120.11,Prolapsed cervical intervertebral disc without myelopathy
M927,Juvenile osteochondrosis of metatarsus,402655006,Necrotizing cutaneous vasculitis (disorder),N120.00,Cervical disc displacement without myelopathy
M928,Other specified juvenile osteochondrosis,402656007,Urticarial vasculitis (disorder),N125.00,Cervical disc degeneration
M929,"Juvenile osteochondrosis, unspecified",402660005,Necrotizing vasculitis secondary to infection (disorder),Nyu7100,[X]Other cervical disc degeneration
M93,Other osteochondropathies,402855009,Normocomplementemic urticarial vasculitis (disorder),N12z500,Annular tear of cervical disc
M931,Kienböck disease of adults,11791001,Necrotizing vasculitis (disorder),N12z600,Resorption of cervical disc
M932,Osteochondritis dissecans,399980009,Necrotizing arteritis (disorder),N12z100,Other cervical disc disorders
M938,Other specified osteochondropathies,402657003,Necrotizing vasculitis secondary to connective tissue disease (disorder),Nyu7B00,"[X]Cervical disc disorder, unspecified"
M939,"Osteochondropathy, unspecified",402859003,Necrotizing vasculitis of undetermined etiology (disorder),Nyu7200,[X]Other cervical disc disorders
M941,Relapsing polychondritis,4676006,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class II (disorder)",F163000,Myelopathy due to intervertebral disc disease
M943,Chondrolysis,11013005,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI (disorder)",N129.11,Prolapsed intervertebral disc with associated myelopathy
,,25380002,Pericarditis co-occurrent and due to systemic lupus erythematosus (disorder),N12B.00,Disc prolapse with myelopathy
,,36402006,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class IV (disorder)",N12B100,Thoracic disc prolapse with myelopathy
,,36471000,Dilated cardiomyopathy secondary to systemic lupus erythematosus (disorder),N12B200,Lumbar disc prolapse with myelopathy
,,52042003,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V (disorder)",F337100,Nerve root and plexus compressions in intervertebral disc disorders
,,54072008,Nonbacterial verrucal endocardiosis (disorder),N12C.00,Disc prolapse with radiculopathy
,,68815009,Systemic lupus erythematosus glomerulonephritis syndrome (disorder),Nyu7400,[X]Lumbar and other intervertebral disc disorders with radiculopathy
,,73286009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I (disorder)",N12C100,Thoracic disc prolapse with radiculopathy
,,76521009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III (disorder)",N12C200,Lumbar disc prolapse with radiculopathy
,,77753005,Lupus disease of the lung (disorder),N12C400,Prolapsed lumbar intervertebral disc with sciatica
,,95644001,Systemic lupus erythematosus encephalitis (disorder),N12..12,Slipped intervertebral disc
,,193178008,Polyneuropathy in disseminated lupus erythematosus (disorder),N123.11,Intervertebral disc prolapse NOS
,,193248005,Myopathy due to disseminated lupus erythematosus (disorder),Zw04000,[Q] Central disc prolapse
,,196138005,Lung disease with systemic lupus erythematosus (disorder),Zw04100,[Q] Posterolateral disc prolapse
,,233730002,Lupus pneumonia (disorder),Zw04200,[Q] Sequestrated disc prolapse
,,307755009,Renal tubulo-interstitial disorder in systemic lupus erythematosus (disorder),N12..11,Displacement of intervertebral disc
,,309762007,Systemic lupus erythematosus with pericarditis (disorder),Nyu7000,[X]Other cervical disc displacement
,,417303004,Retinal vasculitis due to systemic lupus erythematosus (disorder),Nyu7500,[X]Other specified intervertebral disc displacement
,,425951002,Shrinking lung syndrome (disorder),N121.00,Thoracic disc displacement without myelopathy
,,2.95101E+14,Nephropathy co-occurrent and due to systemic lupus erythematosus (disorder),N121.11,Prolapsed thoracic intervertebral disc without myelopathy
,,2.95111E+14,Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus (disorder),N122.12,Lumber disc bulge
,,2.95121E+14,Nephrosis co-occurrent and due to systemic lupus erythematosus (disorder),N122.11,Prolapsed lumbar intervertebral disc
,,3.08751E+14,Glomerular disease due to systemic lupus erythematosus (disorder),N122.00,Lumbar disc displacement
,,239886003,Limited lupus erythematosus (disorder),N12C300,Lumbar disc prolapse with cauda equina compression
,,239889005,Bullous systemic lupus erythematosus (disorder),N127.00,Lumbar disc degeneration
,,239944008,Lupus vasculitis (disorder),N126.00,Thoracic disc degeneration
,,403486000,Acute systemic lupus erythematosus (disorder),N128.00,Degenerative disc disease NOS
,,403487009,Fulminating systemic lupus erythematosus (disorder),Nyu7600,[X]Other specified intervertebral disc degeneration
,,403502003,Disseminated discoid lupus erythematosus (disorder),N12zA00,Resorption of thoracic disc
,,403510002,Lupus erythematosus-associated urticarial vasculitis (disorder),N12zD00,Annular tear of lumbar disc
,,403511003,Lupus erythematosus-associated necrotizing vasculitis (disorder),N12zE00,Resorption of lumbar disc
,,773333003,Autosomal systemic lupus erythematosus (disorder),N124200,Schmorl's nodes of the lumbar region
,,55464009,Systemic lupus erythematosus (disorder),N124.00,Schmorl's nodes
,,95332009,Rash of systemic lupus erythematosus (disorder),N124000,Schmorl's nodes of unspecified region
,,230307005,Chorea in systemic lupus erythematosus (disorder),N124z00,"Schmorl's nodes, region NOS"
,,403488004,Systemic lupus erythematosus of childhood (disorder),N124100,Schmorl's nodes of the thoracic region
,,698694005,Systemic lupus erythematosus in remission (disorder),N12D.00,Narrowing intervertebral disc space
,,724767000,Chorea co-occurrent and due to systemic lupus erythematosus (disorder),N12z700,Calcification of cervical disc
,,724781003,Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus (disorder),N12z900,Annular tear of thoracic disc
,,732960002,Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus (disorder),N12zB00,Calcification of thoracic disc
,,7.2181E+13,Endocarditis due to systemic lupus erythematosus (disorder),N12zF00,Calcification of lumbar disc
,,1212005,Childhood type dermatomyositis (disorder),N12zz00,Disc disorders NOS
,,766252004,Juvenile overlap myositis (disorder),N12..00,Intervertebral disc disorders
,,838312001,Calcinosis due to childhood type dermatomyositis (disorder),Nyu7300,[X]Lumbar and other intervertebral disc disorders with myelopathy
,,870301007,Myocarditis due to childhood type dermatomyositis (disorder),Nyu7700,[X]Other specified intervertebral disc disorders
,,3.11671E+14,Juvenile dermatomyositis co-occurrent with respiratory involvement (disorder),N12z.00,Other and unspecified disc disorders
,,46696008,Dilated cardiomyopathy secondary to dermatomyositis (disorder),N12z000,Other disc disorders of unspecified site
,,86365006,Poikilodermatomyositis (disorder),N12z200,Other thoracic disc disorders
,,238935002,Dermatomyositis sine myositis (disorder),N123.12,Prolapsed intervertebral disc without myelopathy
,,238936001,Sclerodermatomyositis (disorder),N123.00,"Disc displacement, site unspecified, without myelopathy"
,,281358000,Idiopathic dermatomyositis (disorder),N12z300,Other lumbar disc disorders
,,396230008,Dermatomyositis (disorder),F396200,Myopathy due to malignant disease
,,402425006,Adult onset dermatomyositis (disorder),N333.00,Hyperostosis of skull
,,403635000,Drug-induced dermatomyositis (disorder),N333z00,Hyperostosis of skull NOS
,,774082004,Neonatal dermatomyositis (disorder),N333100,Leontiasis ossium
,,838366009,Anti-synthetase syndrome due to dermatomyositis (disorder),N321300,Juvenile osteochondritis of the acetabulum
,,2.96241E+14,Disorder of respiratory system due to dermatomyositis (disorder),N321500,Juvenile osteochondritis of the symphysis pubis
,,31384009,Polymyositis (disorder),N321512,Symphysis pubis osteochondritis
,,196136009,Lung disease co-occurrent with polymyositis (disorder),N321511,Pierson's disease
,,234529004,Acute sarcoid polymyositis (disorder),N323400,Haas' disease - osteochondritis of head of humerus
,,239898008,Polymyositis with malignant disease (disorder),N323411,Humerus head juvenile osteochondritis
,,239899000,Polymyositis associated with autoimmune disease (disorder),N323211,Humerus juvenile osteochondritis
,,239900005,Drug-induced polymyositis (disorder),N323200,Panner's disease - osteochondritis of capitulum of humerus
,,240120003,Eosinophilic polymyositis (disorder),N323600,Burn's disease - osteochondritis of the lower ulna
,,281357005,Idiopathic polymyositis (disorder),N323711,Radial head juvenile osteochondritis
,,738526005,Juvenile polymyositis (disorder),N323700,Brailsford's disease - osteochondritis of the radial head
,,866103007,Interstitial lung disease due to juvenile polymyositis (disorder),N323500,Mauclaire's disease - osteochondritis of metacarpal heads
,,444133002,Progressive systemic sclerosis (disorder),N323511,Metacarpal head juvenile osteochondritis
,,31848007,"Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia syndrome (disorder)",N323.12,Juvenile osteochondritis of the hand
,,62382002,"Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia syndrome (disorder)",N323100,"Juvenile osteochondritis of the hand, unspecified"
,,201443009,Systemic sclerosis induced by drugs and chemicals (disorder),N323300,Kienbock's disease - osteochondritis of carpal lunate
,,443872005,Systemic sclerosis caused by chemical (disorder),N323.11,Juvenile osteochondritis of the arm
,,35719004,Dilated cardiomyopathy secondary to scleroderma (disorder),N323000,"Juvenile osteochondritis of the arm, unspecified"
,,95323007,Scleredema (disorder),N323z00,Juvenile osteochondritis of the arm and hand NOS
,,128460000,"Systemic sclerosis, diffuse (disorder)",N323.00,Juvenile osteochondritis of the arm and hand
,,128461001,Systemic sclerosis sine scleroderma (disorder),N324300,Juvenile osteochondrosis of the secondary patellar centre
,,193252005,Myopathy due to scleroderma (disorder),N324311,Sinding - Larsen's disease - osteochondrosis of the secondary patella centre
,,196133001,Lung disease with systemic sclerosis (disorder),N324411,Tibial tubercle juvenile osteochondritis
,,236503001,Acute scleroderma renal crisis (disorder),N324400,Osgood-Schlatter's disease - osteochondrosis of tibial tubercle
,,299276009,Limited systemic sclerosis (disorder),N324200,Blount's disease - osteochondrosis of proximal tibia
,,402481000,Porphyria-induced scleroderma (disorder),N324.00,Juvenile osteochondrosis of the leg
,,402712002,Occupational scleroderma (disorder),N324000,"Juvenile osteochondrosis of the leg, unspecified"
,,403518009,Scleroderma-associated necrotizing vasculitis (disorder),N324z00,"Juvenile osteochondrosis of the leg, NOS"
,,3.22461E+14,Polyneuropathy due to systemic sclerosis (disorder),N325600,Kohler's disease - osteochondrosis of tarsal navicular
,,63115005,Hypothyroidism due to scleroderma (disorder),N325300,Freiberg's disease - osteochondrosis of second metatarsal
,,87442008,Pericarditis co-occurrent and due to scleroderma (disorder),N325400,Iselin's disease - osteochondrosis of fifth metatarsal
,,89155008,Systemic sclerosis (disorder),N325200,Sever's disease - osteochondrosis of calcaneum
,,236502006,Renal involvement in scleroderma (disorder),N325z00,Juvenile osteochondrosis of the foot NOS
,,298285004,Systemic sclerosis with limited cutaneous involvement (disorder),N325.00,Juvenile osteochondrosis of the foot
,,402713007,Cutaneous complication of systemic sclerosis (disorder),N325000,"Juvenile osteochondrosis of the foot, unspecified"
,,403514006,Scleroderma-associated calcinosis (disorder),N325500,Haglund's disease - osteochondrosis of os tibiale externum
,,403515007,Scleroderma-associated hypermelanosis (disorder),N321z00,Juvenile osteochondritis of the hip and pelvis NOS
,,403516008,Scleroderma-associated telangiectasia (disorder),N326300,Juvenile osteochondrosis NOS
,,403517004,Scleroderma-associated nailfold telangiectasia (disorder),N326100,Juvenile epiphysitis NOS
,,715401008,Primary biliary cirrhosis co-occurrent with systemic scleroderma (disorder),N326200,Juvenile osteochondritis NOS
,,724603009,Pediatric onset systemic sclerosis (disorder),NyuD200,[X]Other specified juvenile osteochondrosis
,,8.9681E+13,Glomerulonephritis co-occurrent and due to scleroderma (disorder),NyuD100,[X]Other juvenile osteochondrosis of upper limb
,,44833003,Pseudolymphoma of lung in Sjögren's disease (disorder),N326.00,Other juvenile osteochondroses
,,78946008,"Keratoconjunctivitis sicca, in Sjögren's syndrome (disorder)",N326z00,Juvenile osteochondroses NOS
,,83901003,Sjögren's syndrome (disorder),N32z300,Osteochondrosis NOS
,,126766000,Lymphoepithelial sialadenitis of Sjögren's syndrome (disorder),N32y100,Kienbock's disease of adults
,,193253000,Myopathy due to Sjögren's disease (disorder),N327.00,Osteochondritis dissecans
,,193776001,Keratoconjunctivitis sicca (excluding Sjögren syndrome) (disorder),N327600,Other osteochondritis dissecans of the elbow
,,196137000,Lung disease with Sjögren's disease (disorder),N327y00,Osteochondritis dissecans of other site
,,239912009,Primary Sjögren's syndrome (disorder),N327000,Osteochondritis dissecans of patella
,,239915006,Secondary Sjögren's syndrome (disorder),N324100,Kohler's disease - osteochondrosis of primary patella centre
,,302896008,Keratoconjunctivitis sicca (disorder),N324111,Juvenile osteochondrosis of the primary patellar centre
,,416485002,Keratoconjunctivitis sicca due to graft-versus-host disease (disorder),N327100,Osteochondritis dissecans of lateral femoral condyle
,,724782005,Demyelination of central nervous system co-occurrent and due to Sjogren disease (disorder),N327300,Osteochondritis dissecans of the humeral head
,,762303003,Pediatric onset Sjögren syndrome (disorder),N327400,Osteochondritis dissecans of the capitellum
,,3.20681E+14,Tubulointerstitial nephropathy due to Sjogren syndrome (disorder),N327500,Osteochondritis dissecans of the radial head
,,239918008,Undifferentiated connective tissue disease (disorder),N327700,Osteochondritis dissecans of the wrist
,,276657008,Overlap syndrome (disorder),N327800,Osteochondritis dissecans of the femoral head
,,397856003,Systemic lupus erythematosus-related syndrome (disorder),N327900,Osteochondritis dissecans of the talus
,,398021003,Connective tissue disease overlap syndrome (disorder),N326000,Juvenile apophysitis NOS
,,398049005,Mixed collagen vascular disease (disorder),N32z000,Apophysitis NOS
,,3275009,"Behcet's syndrome, vascular type (disorder)",N32z200,Osteochondritis NOS
,,21542005,"Behcet's syndrome, neurologic type (disorder)",N32z211,Osteochondritis of knee
,,53485006,"Behcet's syndrome, incomplete type (disorder)",N32..00,Osteochondropathies
,,54034003,"Behcet's syndrome, intestinal type (disorder)",N32z.00,Osteochondropathy NOS
,,57484009,"Behcet's syndrome, complete type (disorder)",N32zz00,Osteochondropathy NOS
,,62918002,Arthropathy in Behcet's syndrome (disorder),NyuD300,[X]Other specified osteochondropathies
,,198231000,Ulceration of vulva in Behcet's disease (disorder),N32y.00,Other specified forms of osteochondropathy
,,201485008,Arthropathy in Behcet's syndrome of the shoulder region (disorder),N32yz00,Other specified osteochondropathy NOS
,,201488005,Arthropathy in Behcet's syndrome of the hand (disorder),Nyu5B00,"[X]Spinal osteochondrosis, unspecified"
,,201489002,Arthropathy in Behcet's syndrome of the pelvic region and thigh (disorder),N325100,Diaz's disease - osteochondrosis of astragalus
,,201491005,Arthropathy in Behcet's syndrome of the ankle and/or foot (disorder),,
,,201492003,Arthropathy in Behcet's syndrome of multiple sites (disorder),,
,,239921005,Behcet's disease with organ/system involvement (disorder),,
,,239922003,Behcet's disease with multisystem involvement (disorder),,
,,310701003,Behcet's syndrome (disorder),,
,,403443000,Behçet's disease affecting oral mucosa (disorder),,
,,403472004,Penile ulceration due to Behçet's disease (disorder),,
,,410480004,Iritis in Behcet's syndrome (disorder),,
,,410481000,Panuveitis in Behcet's syndrome (disorder),,
,,427967009,Arthropathy in Behcet's syndrome of the spine (disorder),,
,,428169009,Arthropathy in Behcet's syndrome of the ankle (disorder),,
,,724783000,Demyelination of central nervous system co-occurrent and due to Behcet disease (disorder),,
,,866049001,Mucocutaneous Behçet disease (disorder),,
,,65323003,Polymyalgia rheumatica (disorder),,
,,95415006,Polymyalgia (disorder),,
,,24129002,Fasciitis with eosinophilia syndrome (disorder),,
,,403634001,Eosinophilic fasciitis caused by L-tryptophan (disorder),,
,,111210001,Multifocal fibrosclerosis (disorder),,
,,239885004,Fibrosclerosis - systemic (disorder),,
,,33760009,Relapsing febrile nodular nonsuppurative panniculitis (disorder),,
,,51696001,Lipogranulomatosis subcutanea of Rothmann and Makai (disorder),,
,,85551004,Hypermobility syndrome (disorder),,
,,95416007,Eosinophilia myalgia syndrome (disorder),,
,,239910001,Toxic oil syndrome (disorder),,
,,363044007,Connective tissue disorder by body site (disorder),,
,,403404004,Acquired perforating pseudoxanthoma elasticum (disorder),,
,,445187004,Antisynthetase syndrome (disorder),,
,,711164003,STING-associated vasculopathy with onset in infancy (disorder),,
,,829973009,Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis (disorder),,
,,58474006,Pericarditis co-occurrent and due to collagen vascular disease (disorder),,
,,81573002,Collagen disease (disorder),,
,,85828009,Autoimmune disease (disorder),,
,,89030000,Eosinophilic gastroenteropathy with collagen vascular disease (disorder),,
,,90073001,Collagen deficiency syndrome (disorder),,
,,105969002,Disorder of connective tissue (disorder),,
,,193177003,Polyneuropathy in collagen vascular disease (disorder),,
,,362992004,Autoimmune connective tissue disorder (disorder),,
,,403735006,Eosinophilia-myalgia syndrome from tryptophan (disorder),,
,,408671002,Polyneuropathy in collagen malignant disease (disorder),,
,,413994008,Dilated cardiomyopathy associated with connective tissue disorder (disorder),,
,,423486005,Disseminated eosinophilic collagen disease (disorder),,
,,427123006,Interstitial lung disease due to collagen vascular disease (disorder),,
,,697903007,Pulmonary arterial hypertension associated with connective tissue disease (disorder),,
,,707297005,Xerostomia due to autoimmune disease (disorder),,
,,722991004,Autoimmune myopathy (disorder),,
,,724809006,Autoimmune retinopathy (disorder),,
,,724998006,Polyneuropathy co-occurrent and due to systemic connective tissue disorder (disorder),,
,,737249005,Photodermatitis co-occurrent and due to autoimmune disease (disorder),,
,,778060000,Collagen type IV alpha 1 chain related familial vascular leukoencephalopathy (disorder),,
,,860837007,Cardiomyopathy due to connective tissue disease (disorder),,
,,871640001,Myocarditis due to autoimmune disease (disorder),,
,,3.00161E+14,Disorder of connective tissue co-occurrent and due to systemic disease (disorder),,
,,239901009,Dermatomyositis with malignant disease (disorder),,
,,202046009,Arthritis secondary to malignancy (disorder),,
,,239822004,Arthritis secondary to non-hematological malignancy (disorder),,
,,281350007,Arthritis secondary to hematological malignancy (disorder),,
,,80813006,Hemophilic arthropathy (disorder),,
,,23961005,Arthropathy associated with a hematological disorder (disorder),,
,,275325009,Arthropathy secondary to hemoglobinopathy (disorder),,
,,281351006,Arthritis due to bleeding disorder (disorder),,
,,709142003,Arthropathy due to sickle cell disease (disorder),,
,,202830000,Recurrent atlantoaxial subluxation with myelopathy (disorder),,
,,55146009,Inflammation of sacroiliac joint (disorder),,
,,1.07497E+15,Arthritis of left sacroiliac joint (disorder),,
,,1.07498E+15,Arthritis of right sacroiliac joint (disorder),,
,,1.5973E+16,Arthritis of bilateral sacroiliac joint (disorder),,
,,192907007,Myelopathy due to spondylosis (disorder),,
,,445242006,Os odontoideum (disorder),,
,,75467001,Intervertebral disc disorder of cervical region with myelopathy (disorder),,
,,202729001,Cervical disc prolapse with myelopathy (disorder),,
,,43898003,Brachial neuritis AND/OR radiculitis due to rupture of cervical intervertebral disc (disorder),,
,,60490008,Brachial neuritis AND/OR radiculitis due to displacement of cervical intervertebral disc (disorder),,
,,202733008,Cervical disc prolapse with radiculopathy (disorder),,
,,202757008,Cervical disc disorder with radiculopathy (disorder),,
,,85216006,Displacement of cervical intervertebral disc without myelopathy (disorder),,
,,240215009,Prolapsed cervical intervertebral disc (disorder),,
,,267974002,Prolapsed cervical intervertebral disc without myelopathy (disorder),,
,,445332006,Displacement of cervical intervertebral disc (disorder),,
,,735604001,Prolapse of cervical intervertebral disc co-occurrent and due to degeneration (disorder),,
,,2.2531E+13,Prolapse of cervical intervertebral disc without radiculopathy (disorder),,
,,43132002,Degeneration of cervicothoracic intervertebral disc (disorder),,
,,69195002,Degeneration of cervical intervertebral disc (disorder),,
,,724604003,Intervertebral disc degeneration of cervical spine without prolapsed disc (disorder),,
,,735605000,Degeneration of cervical intervertebral disc co-occurrent with osteophyte of cervical vertebra (disorder),,
,,202745004,Annular tear of cervical disc (disorder),,
