icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
,,438792009,Hereditary factor IX deficiency disease without inhibitor (disorder),,,
,,440866009,Severe hereditary factor IX deficiency disease with inhibitor (disorder),,,
,,440867000,Moderate hereditary factor IX deficiency disease with inhibitor (disorder),,,
,,440868005,Mild hereditary factor IX deficiency disease with inhibitor (disorder),,,
,,441190003,Severe hereditary factor IX deficiency disease without inhibitor (disorder),,,
,,441191004,Moderate hereditary factor IX deficiency disease without inhibitor (disorder),,,
,,441192006,Mild hereditary factor IX deficiency disease without inhibitor (disorder),,,
,,767712006,Factor IX deficiency (disorder),,,
,,1908008,"von Willebrand disease, type IIC (disorder)",,,
,,12501008,"von Willebrand disease, type IIF (disorder)",,,
,,19520006,"von Willebrand disease, type IIB (disorder)",,,
,,24663001,"von Willebrand disease, type IIH (disorder)",,,
,,35066007,"von Willebrand disease, type IID (disorder)",,,
,,41106001,von Willebrand factor inhibitor disorder (disorder),,,
,,52137009,"von Willebrand disease, type IIE (disorder)",,,
,,71723006,"von Willebrand disease, type IIG (disorder)",,,
,,87397002,"von Willebrand disease, type IIA (disorder)",,,
,,128105004,von Willebrand disorder (disorder),,,
,,128106003,von Willebrand disease type 1 (disorder),,,
,,128107007,von Willebrand disease type 2 (disorder),,,
,,128108002,von Willebrand disease type 3 (disorder),,,
,,128113003,von Willebrand disease type IB (disorder),,,
,,128114009,von Willebrand disease type IC (disorder),,,
,,234446004,Congenital von Willebrand's disease (disorder),,,
,,234447008,Congenital von Willebrand's disease type I (disorder),,,
,,234448003,Congenital von Willebrand's disease type II (disorder),,,
,,234450006,Congenital von Willebrand's disease type III (disorder),,,
,,234451005,Acquired von Willebrand's disease (disorder),,,
,,234473003,Platelet type von Willebrand's disease (disorder),,,
,,359700009,Hereditary von Willebrand disease type IA (disorder),,,
,,359704000,"von Willebrand disease, type 1^a^ (disorder)",,,
,,359709005,von Willebrand disease type IA (disorder),,,
,,359711001,Hereditary von Willebrand disease type 2A (disorder),,,
,,359714009,von Willebrand disease type 2A (disorder),,,
,,359717002,Hereditary von Willebrand disease type 2B (disorder),,,
,,359721009,von Willebrand disease type 2B (disorder),,,
,,359725000,Hereditary von Willebrand disease type 2M (disorder),,,
,,359732009,von Willebrand disease type 2N (disorder),,,
,,860725002,Low von Willebrand factor (disorder),,,
,,33169001,"Factor XI deficiency, type II (disorder)",,,
,,35554008,Acquired factor XI deficiency disease (disorder),,,
,,45963004,"Factor XI deficiency, type III (disorder)",,,
,,49762007,Hereditary factor XI deficiency disease (disorder),,,
,,88540000,"Factor XI deficiency, type I (disorder)",,,
,,767713001,Factor XI deficiency (disorder),,,
,,4320005,Factor V deficiency (disorder),,,
,,18604004,Factor XIII deficiency disease (disorder),,,
,,31925001,Hereditary factor I deficiency disease (disorder),,,
,,33297000,Hereditary factor II deficiency disease (disorder),,,
,,37193007,Factor VII deficiency (disorder),,,
,,37350004,Hereditary factor X deficiency disease (disorder),,,
,,40855001,Hereditary factor VII deficiency disease (disorder),,,
,,43217004,Hereditary factor XII deficiency disease (disorder),,,
,,45366001,Hereditary dysfibrinogenemia (disorder),,,
,,46981006,Factor XII deficiency disease (disorder),,,
,,50189006,Hereditary factor XIII deficiency disease (disorder),,,
,,73975000,Factor II deficiency (disorder),,,
,,76642003,Factor X deficiency (disorder),,,
,,88776002,Hereditary factor V deficiency disease (disorder),,,
,,95842004,Autosomal dominant deficiency of plasminogen (disorder),,,
,,95845002,Hereditary dysplasminogenemia (disorder),,,
,,111589005,Dysfibrinogenemia (disorder),,,
,,128101008,Platelet factor V deficiency (factor V Quebec) (disorder),,,
,,154818001,Congenital afibrinogenemia (disorder),,,
,,234452003,Contact factor deficiency (disorder),,,
,,234453008,Passovoy factor deficiency (disorder),,,
,,234454002,Prothrombin complex deficiency (disorder),,,
,,234456000,Congenital fibrinogen abnormality (disorder),,,
,,234457009,Hypofibrinogenemia (disorder),,,
,,234458004,Hypodysfibrinogenemia (disorder),,,
,,234459007,Alpha chain defect dysfibrinogenemia (disorder),,,
,,234460002,Beta chain defect dysfibrinogenemia (disorder),,,
,,234461003,Gamma chain defect dysfibrinogenemia (disorder),,,
,,234468009,Heparin cofactor II deficiency (disorder),,,
,,234621005,Factor I deficiency (disorder),,,
,,307091009,Factor V Leiden mutation (disorder),,,
,,307115002,Homozygous Factor V Leiden mutation (disorder),,,
,,307116001,Heterozygous Factor V Leiden mutation (disorder),,,
,,359727008,Fibrinogen deficiency (disorder),,,
,,438827002,Hereditary thrombophilic dysfibrinogenemia (disorder),,,
,,439145006,Congenital hypofibrinogenemia (disorder),,,
,,439157002,Hereditary combined coagulation factor deficiency (disorder),,,
,,439455002,Hereditary factor XIII A subunit deficiency (disorder),,,
,,439458000,Factor I deficiency disease (disorder),,,
,,439459008,Hereditary factor XIII B subunit deficiency (disorder),,,
,,439460003,Hereditary factor XIII A subunit and B subunit deficiency (disorder),,,
,,724356003,Hereditary combined deficiency of vitamin K-dependent clotting factors (disorder),,,
,,773422002,East Texas bleeding disorder (disorder),,,
,,2036003,Acquired factor VII deficiency disease (disorder),,,
,,6364000,Acquired factor XIII deficiency disease (disorder),,,
,,12153008,Acquired factor IX deficiency disease (disorder),,,
,,14230004,Acquired factor VIII deficiency disease (disorder),,,
,,15132005,Acquired factor XII deficiency disease (disorder),,,
,,25904003,Acquired coagulation factor deficiency (disorder),,,
,,33820001,Acquired factor X deficiency disease (disorder),,,
,,35913006,Acquired factor V deficiency disease (disorder),,,
,,64509006,Acquired coagulation factor inhibitor disorder (disorder),,,
,,69500007,Blood coagulation disorder due to liver disease (disorder),,,
,,95843009,Acquired hypoplasminogenemia (disorder),,,
,,181456001,Antiprothrombin disorder (disorder),,,
,,191296000,Deficiency of coagulation factor due to liver disease (disorder),,,
,,191297009,Deficiency of coagulation factor due to vitamin K deficiency (disorder),,,
,,191298004,Acquired factor II deficiency (disorder),,,
,,234462005,Acquired fibrinogen abnormality (disorder),,,
,,278366008,Anticoagulant excess without bleeding (disorder),,,
,,307517001,Pregnancy-related factor VIII deficiency (disorder),,,
,,307518006,Malignancy-related factor VIII deficiency (disorder),,,
,,439156006,Acquired combined coagulation factor deficiency (disorder),,,
,,717941005,Body skin hyperlaxity due to vitamin K dependent coagulation factor deficiency (disorder),,,
,,785308008,Acquired hemophilia (disorder),,,
,,1563006,Protein S deficiency disease (disorder),,,
,,76407009,Protein C deficiency disease (disorder),,,
,,421527008,Resistance to activated protein C caused by Factor V Leiden (disorder),,,
,,439002002,Thrombophilia due to acquired protein C deficiency (disorder),,,
,,439125003,Thrombophilia due to acquired protein S deficiency (disorder),,,
,,439126002,Thrombophilia due to acquired antithrombin III deficiency (disorder),,,
,,439274008,Hereditary protein C deficiency (disorder),,,
,,439698008,Hereditary thrombophilia (disorder),,,
,,439699000,Hereditary antithrombin III deficiency (disorder),,,
,,439702007,Hereditary protein S deficiency (disorder),,,
,,440988005,Heterozygous protein S deficiency (disorder),,,
,,440989002,Prothrombin G20210A mutation (disorder),,,
,,441001005,Hereditary elevated factor XI (disorder),,,
,,441101007,Heterozygous protein C deficiency (disorder),,,
,,441188004,Homozygous protein C deficiency (disorder),,,
,,441189007,Homozygous protein S deficiency (disorder),,,
,,441420000,Homozygous prothrombin G20210A mutation (disorder),,,
,,441421001,Heterozygous prothrombin G20210A mutation (disorder),,,
,,442197003,Thrombophilia caused by drug therapy (disorder),,,
,,442654007,Thrombophilia caused by hormone therapy (disorder),,,
,,442760001,Thrombophilia caused by antineoplastic agent therapy (disorder),,,
,,783250007,Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency (disorder),,,
,,19267009,Lupus anticoagulant disorder (disorder),,,
,,26843008,Antiphospholipid syndrome (disorder),,,
,,234467004,Thrombophilia (disorder),,,
,,239892009,Primary antiphospholipid syndrome (disorder),,,
,,239894005,Primary antiphospholipid syndrome with multisystem involvement (disorder),,,
,,239895006,Secondary antiphospholipid syndrome (disorder),,,
,,239897003,Secondary antiphospholipid syndrome with multisystem involvement (disorder),,,
,,402865003,Systemic lupus erythematosus-associated antiphospholipid syndrome (disorder),,,
,,439001009,Acquired thrombophilia (disorder),,,
,,441079006,Thrombophilia due to antiphospholipid antibody (disorder),,,
,,442078001,Thrombophilia due to malignant neoplasm (disorder),,,
,,442121006,Thrombophilia due to vascular anomaly (disorder),,,
,,442363001,Thrombophilia caused by vascular device (disorder),,,
,,609329007,Catastrophic antiphospholipid syndrome (disorder),,,
,,774084003,Neonatal antiphospholipid syndrome (disorder),,,
,,7.2161E+13,Antiphospholipid syndrome in pregnancy (disorder),,,
,,3760002,"Familial multiple factor deficiency syndrome, type V (disorder)",,,
,,9489006,Factor X inhibitor disorder (disorder),,,
,,10934005,Cryofibrinogenemia (disorder),,,
,,13993001,Factor XIII inhibitor disorder (disorder),,,
,,27312002,High molecular weight kininogen deficiency (disorder),,,
,,36351005,Antithrombin III deficiency (disorder),,,
,,41690001,Factor V inhibitor disorder (disorder),,,
,,41816006,Secondary cryofibrinogenemia (disorder),,,
,,48976006,Prekallikrein deficiency (disorder),,,
,,58327003,Factor I inhibitor disorder (disorder),,,
,,61551003,"Familial multiple factor deficiency syndrome, type VI (disorder)",,,
,,61802005,Primary cryofibrinogenemia (disorder),,,
,,64315007,"Familial multiple factor deficiency syndrome, type III (disorder)",,,
,,65768009,"Familial multiple factor deficiency syndrome, type II (disorder)",,,
,,66909001,"Familial multiple factor deficiency syndrome, type IV (disorder)",,,
,,81783000,Familial multiple factor deficiency syndrome (disorder),,,
,,84048006,"Familial multiple factor deficiency syndrome, type I (disorder)",,,
,,89729000,Factor IX inhibitor disorder (disorder),,,
,,95840007,Hypoplasminogenemia (disorder),,,
,,95841006,Hereditary hypoplasminogenemia (disorder),,,
,,95844003,Dysplasminogenemia (disorder),,,
,,105604006,Deficiency of naturally occurring coagulation factor inhibitor (disorder),,,
,,180481005,Anti-factor II disorder (disorder),,,
,,234463000,Combined coagulation factor deficiency (disorder),,,
,,278504009,Afibrinogenemia (disorder),,,
,,282707003,Acquired inhibitor of coagulation (disorder),,,
,,439000005,Hyperfibrinogenemia (disorder),,,
,,439701000,Hereditary heparin cofactor II deficiency (disorder),,,
,,440924009,Hereditary hyperfibrinogenemia (disorder),,,
,,715559004,Combined deficiency of factor V and factor VIII (disorder),,,
,,716746003,Congenital alpha-2-antiplasmin deficiency (disorder),,,
,,717407006,Congenital plasminogen activator inhibitor deficiency type 1 (disorder),,,
,,782909004,Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation (disorder),,,
,,783256001,Familial thrombomodulin anomalies (disorder),,,
,,16773005,Drug-induced coagulation inhibitor disorder (disorder),,,
,,16922007,Hereditary coagulation factor deficiency (disorder),,,
,,21112004,Vascular hemostatic disease (disorder),,,
,,64779008,Blood coagulation disorder (disorder),,,
,,86075001,Coagulation factor deficiency syndrome (disorder),,,
,,95839005,Disorder involving the fibrinolytic system (disorder),,,
,,123786007,Blood coagulation disorder with shortened coagulation time (disorder),,,
,,123787003,Blood coagulation disorder with prolonged coagulation time (disorder),,,
,,123788008,Blood coagulation disorder with shortened bleeding time (disorder),,,
,,123789000,Blood coagulation disorder with prolonged bleeding time (disorder),,,
,,123790009,Blood coagulation disorder with impaired clot retraction time (disorder),,,
,,128088003,"Blood coagulation disorder, categorized by value of screening test (disorder)",,,
,,234455001,Fibrinogen abnormality (disorder),,,
,,234466008,Acquired coagulation disorder (disorder),,,
,,362970003,Disorder of hemostatic system (disorder),,,
,,441042008,Hereditary elevated factor VIII (disorder),,,
,,724854007,Purpura of skin and or skin-associated mucous membrane co-occurrent and due to coagulation disorder (disorder),,,
,,1.07496E+16,Blood coagulation disorder complicating childbirth (disorder),,,
,,1.07496E+16,Blood coagulation disorder complicating pregnancy (disorder),,,
,,86074002,Purpura rheumatica (disorder),,,
,,236504007,Henoch-Schönlein nephritis (disorder),,,
,,402856005,Acute hemorrhagic edema of childhood (disorder),,,
,,870349001,Noninfectious enteritis due to immunoglobulin A vasculitis (disorder),,,
,,871631000,Ulcer of intestine due to immunoglobulin A vasculitis (disorder),,,
,,8.5381E+13,Glomerulonephritis due to Henoch-Schönlein purpura (disorder),,,
,,9417000,Platelet dense granule deficiency (disorder),,,
,,22716005,Platelet disorder (disorder),,,
,,32942005,Glanzmann's thrombasthenia (disorder),,,
,,41461004,Platelet dysfunction caused by drugs (disorder),,,
,,43346008,Platelet procoagulant activity deficiency (disorder),,,
,,51448009,Platelet secretory disorder (disorder),,,
,,51720005,Gray platelet syndrome (disorder),,,
,,54569005,Bernard Soulier syndrome (disorder),,,
,,128094006,Alloimmune platelet transfusion refractoriness (disorder),,,
,,128095007,Acquired platelet function disorder (disorder),,,
,,128096008,Hereditary platelet function disorder (disorder),,,
,,128098009,Scott syndrome (disorder),,,
,,128099001,Platelet storage pool defect (disorder),,,
,,128100009,Mixed alpha granule and dense body deficiency (disorder),,,
,,128102001,Familial alpha>2< adrenergic receptor defect in platelets (disorder),,,
,,128103006,Isolated collagen aggregation defect (disorder),,,
,,129654004,Acquired platelet factor 3 disease (disorder),,,
,,234470000,Platelet membrane defect (disorder),,,
,,234471001,Glycoprotein Ia defect (disorder),,,
,,234472008,Glycoprotein Ib defect (disorder),,,
,,234474009,Dense body defect (disorder),,,
,,234475005,Thromboxane generation defect (disorder),,,
,,234476006,Cyclooxygenase deficiency (disorder),,,
,,234477002,Thromboxane synthetase deficiency (disorder),,,
,,234478007,Giant platelet syndrome (disorder),,,
,,234479004,Acquired platelet disorder (disorder),,,
,,234486007,Montreal platelet syndrome (disorder),,,
,,267532001,Qualitative platelet disorder (disorder),,,
,,270117002,Platelet type pseudo-von Willebrand disease (disorder),,,
,,296332004,Acquired storage pool deficiency (platelets) (disorder),,,
,,297307009,Exhausted platelets (disorder),,,
,,359536009,Megakaryocytic aplasia (disorder),,,
,,402653004,Thrombocytopenic purpura due to defective platelet production (disorder),,,
,,718553004,White platelet syndrome (disorder),,,
,,718554005,Medich giant platelet syndrome (disorder),,,
,,725105006,Bleeding disorder due to deficiency of calcium and diacylglycerol-regulated guanine nucleotide exchange factor I (disorder),,,
,,41486008,Eczematid-like purpura of Doucas and Kapetanakis (disorder),,,
,,111199007,Purpura pigmentosa chronica (disorder),,,
,,206414002,Perinatal purpura (disorder),,,
,,234496003,Metabolic purpura (disorder),,,
,,275446004,Gardner-Diamond syndrome (disorder),,,
,,361209006,Dermite ocre of Favre (disorder),,,
,,387778001,Purpuric disorder (disorder),,,
,,402853002,Cryofibrinogenemic purpura (disorder),,,
,,402854008,Dysproteinemic purpura (disorder),,,
,,13172003,Chronic idiopathic thrombocytopenic purpura (disorder),,,
,,32273002,Idiopathic thrombocytopenic purpura (disorder),,,
,,75331009,Evans syndrome (disorder),,,
,,302873008,Thrombocytopenic purpura (disorder),,,
,,37492005,Sex-linked thrombocytopenia (disorder),,,
,,82190001,Thrombocytopenia due to defective platelet production (disorder),,,
,,234482009,Amegakaryocytic thrombocytopenia (disorder),,,
,,234483004,Megakaryocytic thrombocytopenia (disorder),,,
,,234485006,Epstein syndrome (disorder),,,
,,234487003,Mediterranean thrombocytopenia (disorder),,,
,,236422008,Fechtner syndrome (disorder),,,
,,267534000,Primary thrombocytopenia (disorder),,,
,,267535004,Congenital thrombocytopenic purpura (disorder),,,
,,359531004,Amegakaryocytic thrombocytopenia with congenital malformation (disorder),,,
,,438492008,Hereditary thrombocytopenic disorder (disorder),,,
,,441134009,"Congenital dysmegakaryopoietic thrombocytopenia, Paris Trousseau type (disorder)",,,
,,712922002,Myosin heavy chain 9 non muscle related disease (disorder),,,
,,713388002,GATA binding protein 1 related thrombocytopenia with dyserythropoiesis (disorder),,,
,,717769007,MYH9 macrothrombocytopenia syndrome (disorder),,,
,,720521008,Autosomal dominant macrothrombocytopenia (disorder),,,
,,722475006,X-linked congenital dyserythropoietic anemia with thrombocytopenia (disorder),,,
,,725034002,Familial platelet syndrome with predisposition to acute myelogenous leukemia (disorder),,,
,,737221003,Congenital thrombocytopenia (disorder),,,
,,771075004,Macrothrombocytopenia with mitral valve insufficiency (disorder),,,
,,783251006,Hereditary thrombocytopenia with normal platelets (disorder),,,
,,2897005,Immune thrombocytopenia (disorder),,,
,,63444004,Thrombocytopenia due to hypersplenism (disorder),,,
,,74576004,Acquired thrombocytopenia (disorder),,,
,,86635005,Kasabach-Merritt syndrome (disorder),,,
,,87902006,Thrombocytopenia due to non-immune destruction (disorder),,,
,,128092005,Secondary autoimmune thrombocytopenia (disorder),,,
,,128093000,Alloimmune thrombocytopenia (disorder),,,
,,154826009,Secondary thrombocytopenia (disorder),,,
,,417626001,Thrombocytopenic purpura associated with metabolic disorder (disorder),,,
,,421766003,Thrombocytopenia associated with acquired immunodeficiency syndrome (disorder),,,
,,441990004,Thrombophilia due to paroxysmal nocturnal hemoglobinuria (disorder),,,
,,699208000,Thrombocytopenia caused by alcohol (disorder),,,
,,9.7571E+13,Thrombocytopenia co-occurrent and due to alcoholism (disorder),,,
,,34395002,Thrombocytopenia caused by hypothermia (disorder),,,
,,48788004,Cyclic thrombocytopenia (disorder),,,
,,60628003,Mediterranean macrothrombocytopenia (disorder),,,
,,78345002,Thrombocytopenia due to diminished platelet production (disorder),,,
,,128091003,Autoimmune thrombocytopenia (disorder),,,
,,302215000,Thrombocytopenic disorder (disorder),,,
,,371074009,Radiation thrombocytopenia (disorder),,,
,,416902009,Uremic thrombocytopenia (disorder),,,
,,721304007,Refractory thrombocytopenia (disorder),,,
,,91304009,Capillary fragility abnormality (disorder),,,
,,128115005,Pseudo von Willebrand disease (disorder),,,
,,191329002,Hereditary vascular fragility (disorder),,,
,,402920006,Papular purpuric gloves and socks syndrome (disorder),,,
,,421132004,Platelet dysfunction associated with uremia (disorder),,,
,,711407000,"Thrombocytopathy, asplenia and miosis (disorder)",,,
,,725291001,Defect of purinergic receptor p2y G protein-coupled 12 (disorder),,,
,,737243006,Purpura of skin co-occurrent and due to vascular fragility (disorder),,,
,,765977002,Bleeding disorder due to glycoprotein VI deficiency (disorder),,,
,,782934004,Bleeding diathesis due to collagen receptor defect (disorder),,,
,,783194008,Bleeding diathesis due to thromboxane synthesis deficiency (disorder),,,
,,6935003,Familial hemorrhagic diathesis (disorder),,,
,,3899003,Neutropenic typhlitis (disorder),,,
,,24974008,Myelokathexis (disorder),,,
,,41814009,Neutropenia with dysgranulopoiesis (disorder),,,
,,58639003,Doan-Wiseman syndrome (disorder),,,
,,65623009,Immune neutropenia (disorder),,,
,,89655007,Congenital neutropenia (disorder),,,
,,111585004,Neutropenia associated with autoimmune disease (disorder),,,
,,129640007,Benign granulocytopenia in childhood (disorder),,,
,,129641006,Chronic benign neutropenia of childhood (disorder),,,
,,129642004,Chronic idiopathic immunoneutropenia in adults (disorder),,,
,,129643009,Chronic hypoplastic neutropenia (disorder),,,
,,191338000,Primary splenic neutropenia (disorder),,,
,,191347008,Cyclical neutropenia (disorder),,,
,,234418001,Chronic benign granulocytopenia (disorder),,,
,,234423001,Chronic benign neutropenia (disorder),,,
,,234424007,Metabolic neutropenia (disorder),,,
,,234425008,Autoimmune neutropenia (disorder),,,
,,234576008,Chronic familial neutropenia (disorder),,,
,,247860002,Familial neutropenia (disorder),,,
,,248693006,Chronic idiopathic neutropenia (disorder),,,
,,267540007,Neutropenia caused by irradiation (disorder),,,
,,303011007,Neutropenic disorder (disorder),,,
,,417672002,Granulocytopenic disorder (disorder),,,
,,421312009,Agranulocytosis associated with acquired immunodeficiency syndrome (disorder),,,
,,703148008,Periodontitis associated with chronic familial neutropenia (disorder),,,
,,709535007,Periodontitis co-occurrent with infantile genetic agranulocytosis (disorder),,,
,,709608008,Periodontitis co-occurrent with acquired neutropenia (disorder),,,
,,710926008,Periodontitis co-occurrent with familial neutropenia (disorder),,,
,,710927004,Periodontitis co-occurrent with cyclical neutropenia (disorder),,,
,,713530002,Agranulocytosis co-occurrent with human immunodeficiency virus infection (disorder),,,
,,718882006,X-linked severe congenital neutropenia (disorder),,,
,,721303001,Refractory neutropenia (disorder),,,
,,725137007,"Neutropenia, monocytopenia, deafness syndrome (disorder)",,,
,,770942003,Kostmann syndrome (disorder),,,
,,770947009,Autosomal dominant severe congenital neutropenia (disorder),,,
,,775909002,"Congenital neutropenia, myelofibrosis, nephromegaly syndrome (disorder)",,,
,,783058007,Autosomal recessive severe congenital neutropenia due to glucose-6-phosphatase catalytic subunit 3 deficiency (disorder),,,
,,783199003,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency (disorder),,,
,,783200000,Autosomal recessive severe congenital neutropenia due to C-X-C motif chemokine receptor 2 deficiency (disorder),,,
,,783201001,Autosomal recessive severe congenital neutropenia due to colony stimulating factor 3 receptor deficiency (disorder),,,
,,784392009,Adult chronic idiopathic neutropenia (disorder),,,
,,21527007,"Chronic granulomatous disease, type IV (disorder)",,,
,,26252007,"Chronic granulomatous disease, type IIA (disorder)",,,
,,29272001,"Chronic granulomatous disease, type I (disorder)",,,
,,40145002,Congenital neutrophil actin dysfunction (disorder),,,
,,40197009,"Chronic granulomatous disease, type IA (disorder)",,,
,,76243000,"Chronic granulomatous disease, type IVA (disorder)",,,
,,77330006,"Chronic granulomatous disease, type II (disorder)",,,
,,82317007,"Chronic granulomatous disease, type III (disorder)",,,
,,234430007,CR3-receptor deficiency (disorder),,,
,,234587000,Neutrophil lactoferrin deficiency (disorder),,,
,,267543009,Functional disorders of polymorphonuclear neutrophils (disorder),,,
,,387759001,Chronic granulomatous disease (disorder),,,
,,699861000,"Familial granulomatous inflammatory arthritis, dermatitis and uveitis (disorder)",,,
,,716766007,Malakoplakia (disorder),,,
,,717904009,Hypoparathyroidism due to granulomatous disease (disorder),,,
,,723443003,Neutrophil immunodeficiency syndrome (disorder),,,
,,737182002,Interstitial lung disease due to granulomatous disease (disorder),,,
,,870342005,Compression of spinal cord due to granulomatous disorder (disorder),,,
,,47986005,Genetic anomaly of leukocyte (disorder),,,
,,85559002,Pelger-Huët anomaly (disorder),,,
,,111584000,Reticular dysgenesis (disorder),,,
,,129639005,Hereditary neutrophilia (disorder),,,
,,129644003,Myeloperoxidase deficiency syndrome (disorder),,,
,,234434003,Alders syndrome (disorder),,,
,,234586009,Leukocyte glucose-6-phosphate dehydrogenase deficiency (disorder),,,
,,350353007,De Vaal's syndrome (disorder),,,
,,351287008,Reticular dysgenesis with congenital aleukocytosis (disorder),,,
,,402794002,Heritable disorder of neutrophil function (disorder),,,
,,711160007,Eosinophil peroxidase deficiency (disorder),,,
,,79336007,Familial eosinophilia (disorder),,,
,,125574005,Angiolymphoid hyperplasia with eosinophilia (disorder),,,
,,191358004,Hereditary eosinophilia (disorder),,,
,,238887002,Eosinophilic panniculitis (disorder),,,
,,722067005,Severe combined immunodeficiency with hypereosinophilia (disorder),,,
,,735442002,Acquired eosinophilia (disorder),,,
,,2990008,Lymphocytic leukemoid reaction (disorder),,,
,,3239007,Lymphocyte disorder (disorder),,,
,,12814002,B lymphocyte disorder (disorder),,,
,,15012007,Granulocyte abnormality due to immune defect (disorder),,,
,,21043008,Neutrophil cytomatrix disorder (disorder),,,
,,25502009,Episodic lymphocytopenia (disorder),,,
,,34916006,Neutrophil motility disorder (disorder),,,
,,37465004,Plasmacytosis (disorder),,,
,,44306006,T lymphocyte disorder (disorder),,,
,,71436005,Lazy leukocyte syndrome (disorder),,,
,,72272002,Non malignant mast cell disease (disorder),,,
,,80369006,Chronic neutrophilia (disorder),,,
,,95624007,Neonatal lymphocytopenia (disorder),,,
,,105601003,Quantitative disorder of neutrophils (disorder),,,
,,234427000,Monocytoid disorder (disorder),,,
,,234428005,Lymphocytoid disorder (disorder),,,
,,234431006,Specific granule deficiency (disorder),,,
,,234433009,Myeloperoxidase deficiency (disorder),,,
,,234573000,Phagocytic cell defect (disorder),,,
,,234574006,Disorder of phagocytic cell number (disorder),,,
,,234580003,Defective phagocytic cell chemotaxis (disorder),,,
,,234585008,Defective phagocytic cell killing (disorder),,,
,,234588005,Neutrophil secondary granule deficiency (disorder),,,
,,288327009,Granulation anomaly (disorder),,,
,,289317009,Granulocyte granule deficiency (disorder),,,
,,403838000,Jung syndrome (disorder),,,
,,403839008,Siccardi syndrome (disorder),,,
,,415005004,Panleukopenia (disorder),,,
,,449784008,Diffuse infiltrative lymphocytosis syndrome (disorder),,,
,,702444009,Autoimmune lymphoproliferative syndrome (disorder),,,
,,717780007,Monoclonal B-cell lymphocytosis (disorder),,,
,,723508002,RAS-associated autoimmune leukoproliferative disease (disorder),,,
,,735436001,Acquired disorder of neutrophil function (disorder),,,
,,735437005,Disorder of neutrophil adhesion (disorder),,,
,,735438000,Disorder of neutrophil chemotaxis (disorder),,,
,,735448003,Anaphylaxis due to mast cell disorder (disorder),,,
,,763713000,Idiopathic CD4 lymphocytopenia (disorder),,,
,,778024005,Monocytopenia with susceptibility to infections (disorder),,,
,,105602005,Quantitative abnormality of granulocytes (disorder),,,
,,234414004,Non-malignant white cell disorder (disorder),,,
,,234429002,Chemotactic disorder (disorder),,,
,,319171004,Qualitative abnormality of granulocyte (disorder),,,
,,414395005,Hereditary white blood cell disorder (disorder),,,
,,417389002,Disorder of basophils (disorder),,,
,,417967008,Disorder of eosinophil (disorder),,,
,,23761004,Hyposplenism (disorder),,,
,,82893001,Splenic atrophy (disorder),,,
,,234511009,Post-splenectomy disorder (disorder),,,
,,234513007,Post-splenectomy leukocytosis (disorder),,,
,,697919000,Pulmonary hypertension due to post-splenectomy hematological disorder (disorder),,,
,,700052007,Post-splenectomy sepsis (disorder),,,
,,724639003,Asplenia following surgical procedure (disorder),,,
,,58381000,Hypersplenism (disorder),,,
,,443230004,Myeloid metaplasia (disorder),,,
,,191382009,Chronic congestive splenomegaly (disorder),,,
,,234504005,Polycystic spleen (disorder),,,
,,14534009,Splenic vein thrombosis (disorder),,,
,,22996003,Splenic infarction (disorder),,,
,,43325004,Nontraumatic splenic rupture (disorder),,,
,,56517003,Splenic hemorrhage (disorder),,,
,,123617004,Fleckmilz (disorder),,,
,,234509000,Torsion of spleen (disorder),,,
,,1.43561E+14,Acute thrombosis of splenic vein (disorder),,,
,,1671000,Sago spleen (disorder),,,
,,27254001,Extramedullary hematopoiesis of spleen (disorder),,,
,,56338005,Splenic fibrosis (disorder),,,
,,95846001,Red blood cell sequestration in spleen (disorder),,,
,,191384005,Wandering spleen (disorder),,,
,,234510005,Amyloidosis of spleen (disorder),,,
,,442360003,Calcification of spleen (disorder),,,
,,1.41701E+14,Lesion of spleen (disorder),,,
,,51244008,Disorder of spleen (disorder),,,
,,47526003,Hereditary nonspherocytic hemolytic anemia due to reduced nicotinamide adenine dinucleotide diaphorase deficiency (disorder),,,
,,74912001,Hereditary methemoglobinemia due to globin chain mutation (disorder),,,
,,234395000,Congenital methemoglobinaema with defective methemoglobin-reducing system (disorder),,,
,,234396004,Congenital methemoglobinemia with abnormal methemoglobins (disorder),,,
,,267550008,Congenital methemoglobinemia (disorder),,,
,,767497003,Autosomal recessive congenital methemoglobinemia (disorder),,,
,,767498008,Autosomal recessive congenital methemoglobinemia type II (disorder),,,
,,767499000,Autosomal recessive congenital methemoglobinemia type I (disorder),,,
,,57020009,Stokvis' disease (disorder),,,
,,191388008,Familial methemoglobinemia (disorder),,,
,,191389000,Idiopathic methemoglobinemia (disorder),,,
,,295315008,Acquired methemoglobinemia (disorder),,,
,,406593009,Methemoglobinemia caused by nitrate poisoning (disorder),,,
,,38959009,Methemoglobinemia (disorder),,,
,,17342003,Familial erythrocytosis (disorder),,,
,,127065001,Familial erythrocytosis due to diphosphoglycerate mutase deficiency (disorder),,,
,,127066000,Familial polycythemia vera (disorder),,,
