"","code","description","tag"
"2520",55222007,"Breast tenderness (finding)","finding"
"2521",55257005,"Wrong tissue received (finding)","finding"
"2522",55260003,"Calcaneal spur (finding)","finding"
"2523",55300003,"Cramp (finding)","finding"
"2524",55331005,"Newborn regurgitation of food (finding)","finding"
"2525",55336000,"Clinical stage III D (finding)","finding"
"2526",55346003,"Loosening of associations (finding)","finding"
"2527",55350005,"Hungry (finding)","finding"
"2528",55383003,"Unidentified body but identity suspected (finding)","finding"
"2529",55406008,"Hyperalgesia (finding)","finding"
"2530",55440008,"M1 category (finding)","finding"
"2531",55442000,"Paroxysmal nocturnal dyspnea (finding)","finding"
"2532",55446002,"Genetic mutation (finding)","finding"
"2533",55466006,"Missed labor (finding)","finding"
"2534",55528005,"Menosepsis (finding)","finding"
"2535",55533009,"Forgetful (finding)","finding"
"2536",55539008,"Physical stress (finding)","finding"
"2537",55543007,"Previous pregnancies 3 (finding)","finding"
"2538",55590009,"Normal angle of erection (finding)","finding"
"2539",55607006,"Problem (finding)","finding"
"2540",55630000,"Cogwheel muscle rigidity (finding)","finding"
"2541",55634009,"Left homonymous hemianopsia (finding)","finding"
"2542",55640002,"Dyscalculia (finding)","finding"
"2543",55644006,"Thumb sucking (finding)","finding"
"2544",55659000,"Cardiac dullness to percussion diminished (finding)","finding"
"2545",55662002,"Enterogenic proteinuria (finding)","finding"
"2546",55699002,"Bacterial colony shape, punctiform (finding)","finding"
"2547",55758001,"Eyes tire easily (finding)","finding"
"2548",55759009,"Increase of specific gravity (finding)","finding"
"2549",55765009,"Hyperlipoproteinemia diet, type V (finding)","finding"
"2550",55781004,"Intellectual precocity (finding)","finding"
"2551",55787000,"Yellowish red color (finding)","finding"
"2552",55791005,"Charcot's gait (finding)","finding"
"2553",55861007,"Postpartum period, 5 days (finding)","finding"
"2554",55864004,"Kneeling (finding)","finding"
"2555",55871009,"Nasal step visual field defect (finding)","finding"
"2556",55876004,"Bachelor (finding)","finding"
"2557",55891002,"Problem of visual accommodation (finding)","finding"
"2558",55892009,"Nocturnal erection of penis (finding)","finding"
"2559",55923008,"Infant diet (finding)","finding"
"2560",55929007,"Feeling irritable (finding)","finding"
"2561",55930002,"Electrocardiographic ST segment changes (finding)","finding"
"2562",55938009,"Voice tremor (finding)","finding"
"2563",55956009,"Disturbance in content of thought (finding)","finding"
"2564",55973006,"Decreased pulmonary arterial wedge pressure (finding)","finding"
"2565",56018004,"Wheezing (finding)","finding"
"2566",56020001,"Patellar tap (finding)","finding"
"2567",56026007,"Late postpartum state (finding)","finding"
"2568",56029000,"Three previous induced terminations of pregnancy (finding)","finding"
"2569",56046002,"Gustatory sweating (finding)","finding"
"2570",56098000,"Social problem not due to a mental disorder (finding)","finding"
"2571",56160003,"Hydrorrhea gravidarum (finding)","finding"
"2572",56169002,"Break-through bleeding (finding)","finding"
"2573",56173004,"Poikilothermia (finding)","finding"
"2574",56209005,"Agonistic behavior (finding)","finding"
"2575",56260006,"Prolonged ST segment (finding)","finding"
"2576",56273005,"Abnormal muscle function (finding)","finding"
"2577",56292007,"Normal small bowel motility (finding)","finding"
"2578",56302003,"Toxic state (finding)","finding"
"2579",56380009,"Clinical stage I E (finding)","finding"
"2580",56435009,"Poverty of thought (finding)","finding"
"2581",56441002,"Sexual harassment (finding)","finding"
"2582",56452008,"Adult dyssocial behavior (finding)","finding"
"2583",56492005,"Fear of oncoming retirement (finding)","finding"
"2584",56497004,"Impaired acid inhibition of gastrin release (finding)","finding"
"2585",56505000,"Breathy voice quality (finding)","finding"
"2586",56561006,"Pathologic amenorrhea (finding)","finding"
"2587",56578002,"Moderate smoker (20 or less per day) (finding)","finding"
"2588",56587006,"International Federation of Gynecology and Obstetrics vulvar carcinoma stage I (finding)","finding"
"2589",56608008,"Pain in wrist (finding)","finding"
"2590",56610005,"Static tremor (finding)","finding"
"2591",56624009,"Cervical effacement, 20% (finding)","finding"
"2592",56681004,"Cerebral alteration (finding)","finding"
"2593",56709009,"Target cell of immunologic reaction (finding)","finding"
"2594",56718006,"Hyperlipoproteinemia diet (finding)","finding"
"2595",56731001,"Increased muscle tone (finding)","finding"
"2596",56769006,"Modified Dukes stage A (finding)","finding"
"2597",56771006,"Heavy smoker (over 20 per day) (finding)","finding"
"2598",56835001,"Palikinesia (finding)","finding"
"2599",56840009,"Idiosyncrasy (finding)","finding"
"2600",56856004,"Victim of civil disturbance (finding)","finding"
"2601",56879003,"Genetic independent segregation (finding)","finding"
"2602",56888007,"Increased capillary fragility (finding)","finding"
"2603",56890008,"Victim of sexual aggression (finding)","finding"
"2604",56894004,"Erythrocytic maturation arrest (finding)","finding"
"2605",56925008,"Abnormal sexual function (finding)","finding"
"2606",56944001,"Lymphoma stage III (finding)","finding"
"2607",57000008,"Traumatic apnea (finding)","finding"
"2608",57009009,"Functional proteinuria (finding)","finding"
"2609",57095008,"Pseudohallucinations (finding)","finding"
"2610",57097000,"Altered growth and development: social skills (finding)","finding"
"2611",57104001,"Finding related to response to skin test (finding)","finding"
"2612",57105000,"Simple acroparesthesia (finding)","finding"
"2613",57180008,"Abnormal eosinophil production (finding)","finding"
"2614",57187006,"Clumsy child (finding)","finding"
"2615",57196006,"Gene frequency (finding)","finding"
"2616",57197002,"Nine previous induced terminations of pregnancy (finding)","finding"
"2617",57248000,"Flexed fetal attitude (finding)","finding"
"2618",57260004,"Dietary amenorrhea (finding)","finding"
"2619",57306005,"Modified Dukes stage C2 (finding)","finding"
"2620",57320003,"Increased stratum corneum water-binding capacity (finding)","finding"
"2621",57325008,"Isoimmunization (finding)","finding"
"2622",57382009,"Brownish red color (finding)","finding"
"2623",57403001,"Gleason grade score 7 out of 10 (finding)","finding"
"2624",57489004,"Subacute failure (finding)","finding"
"2625",57494004,"Senile exhaustion (finding)","finding"
"2626",57517007,"Reverse split of second heart sound (finding)","finding"
"2627",57553009,"Mood-incongruent hallucination (finding)","finding"
"2628",57568005,"Strained hoarse voice-continuous group (finding)","finding"
"2629",57591009,"Diaphragmatic breathing (finding)","finding"
"2630",57605004,"Modified Dukes stage D (finding)","finding"
"2631",57626004,"Defecation straining (finding)","finding"
"2632",57630001,"First trimester pregnancy (finding)","finding"
"2633",57652005,"Weak V phenotype (finding)","finding"
"2634",57669007,"Increased metabolic requirement (finding)","finding"
"2635",57676002,"Joint pain (finding)","finding"
"2636",57722009,"Sensitized red cell (finding)","finding"
"2637",57756003,"Telescoping of limb at hip (finding)","finding"
"2638",57769004,"Dyspnea after eating (finding)","finding"
"2639",57791006,"Taste-blindness (finding)","finding"
"2640",57801006,"Increased hormonal activity (finding)","finding"
"2641",57883007,"Renin test diet (finding)","finding"
"2642",57891003,"Term infant (finding)","finding"
"2643",57907009,"Gestation period, 36 weeks (finding)","finding"
"2644",57933001,"Unsocialized aggressive reaction of childhood (finding)","finding"
"2645",57935008,"Epileptic aura (finding)","finding"
"2646",57943003,"Extreme old age (over 100 years) (finding)","finding"
"2647",57948007,"Agnosia for taste (finding)","finding"
"2648",57954008,"Falsification (finding)","finding"
"2649",57982001,"Self-bathing/hygiene deficit (finding)","finding"
"2650",58015007,"Epidemic disease (finding)","finding"
"2651",58120009,"Compensatory articulatory substitution (finding)","finding"
"2652",58178000,"Tissue lost in processing (finding)","finding"
"2653",58219009,"Lactation problem (finding)","finding"
"2654",58230007,"Alteration in bowel elimination: constipation (finding)","finding"
"2655",58236001,"Normal growth (finding)","finding"
"2656",58250006,"Scalding pain on urination (finding)","finding"
"2657",58261003,"Sacroposterior position (finding)","finding"
"2658",58283004,"Narrow arterial pulse pressure (finding)","finding"
"2659",58289000,"Prodromal stage labor (finding)","finding"
"2660",58326007,"Negativism (finding)","finding"
"2661",58415000,"Normal urinary stream (finding)","finding"
"2662",58423003,"Infertility due to systemic disease (finding)","finding"
"2663",58424009,"Overeating (finding)","finding"
"2664",58436003,"Increased libido (finding)","finding"
"2665",58440007,"Non-erotic stimulus (finding)","finding"
"2666",58460004,"Blood group O (finding)","finding"
"2667",58468006,"Colicin factor (finding)","finding"
"2668",58497009,"Tardy ulnar nerve palsy (finding)","finding"
"2669",58532003,"Unwanted pregnancy (finding)","finding"
"2670",58585005,"Autochthonous delusion (finding)","finding"
"2671",58593005,"Athetoid movement (finding)","finding"
"2672",58596002,"Inspiratory stridor (finding)","finding"
"2673",58634008,"Disability evaluation, impairment, class 9 (finding)","finding"
"2674",58694006,"Teratogenesis (finding)","finding"
"2675",58699001,"Cervical dilatation, 2cm (finding)","finding"
"2676",58724008,"Rib syndrome (finding)","finding"
"2677",58778008,"Normal popliteal pulse (finding)","finding"
"2678",58790005,"T0 category (finding)","finding"
"2679",58840004,"Decreased breath sounds (finding)","finding"
"2680",58848006,"Lack of drug action (finding)","finding"
"2681",58849003,"Aspiration of food (finding)","finding"
"2682",58851004,"Cryptomenorrhea (finding)","finding"
"2683",58865002,"Prenatal state of fetus, second trimester (finding)","finding"
"2684",58874000,"Decreased cardiac stroke volume (finding)","finding"
"2685",58895005,"Central convulsion (finding)","finding"
"2686",58899004,"No evidence of neoplasm (finding)","finding"
"2687",58901008,"Excitement (finding)","finding"
"2688",58903006,"Breech presentation, single footling (finding)","finding"
"2689",58925000,"Gleason grade score 9 out of 10 (finding)","finding"
"2690",58963008,"Acrophobia (finding)","finding"
"2691",58972000,"Dribbling of urine (finding)","finding"
"2692",59037007,"Intolerance to drug (finding)","finding"
"2693",59073000,"Tactile hypesthesia (finding)","finding"
"2694",59139008,"Crushing chest pain (finding)","finding"
"2695",59140005,"Abnormal salivary secretion (finding)","finding"
"2696",59176006,"Low-pitch hoarse group (finding)","finding"
"2697",59223006,"Juvenile (finding)","finding"
"2698",59265000,"Paroxysmal dyspnea (finding)","finding"
"2699",59291004,"Undelivered in utero fetal death (finding)","finding"
"2700",59305000,"Normal gastric secretion (finding)","finding"
"2701",59349003,"Wristdrop (finding)","finding"
"2702",59403008,"Premature birth of newborn female (finding)","finding"
"2703",59445005,"Mood hypersomnia (finding)","finding"
"2704",59450004,"Mixed sex play (finding)","finding"
"2705",59462000,"Decreased electrocardiogram voltage (finding)","finding"
"2706",59466002,"Second trimester pregnancy (finding)","finding"
"2707",59477008,"Stock words (finding)","finding"
"2708",59486003,"Disability evaluation, disability 4% (finding)","finding"
"2709",59495006,"Heart murmur, categorized by configuration (finding)","finding"
"2710",59540003,"Inequality in size of cerebral ventricles (finding)","finding"
"2711",59546009,"Motor ataxia (finding)","finding"
"2712",59552005,"Normal ejaculation (finding)","finding"
"2713",59602008,"Powerlessness, severe (finding)","finding"
"2714",59614000,"Occult blood in stools (finding)","finding"
"2715",59635003,"No microscopic confirmation - clinically tumor (finding)","finding"
"2716",59678008,"Popeye sign (finding)","finding"
"2717",59685007,"Continuous murmur (finding)","finding"
"2718",59695000,"Bilateral visual field constriction (finding)","finding"
"2719",59754009,"Brief atonic seizure (finding)","finding"
"2720",59762001,"Abnormal exocrine gland secretion (finding)","finding"
"2721",59770006,"Dyslexia (finding)","finding"
"2722",59783007,"Crewmember in aircraft accident (finding)","finding"
"2723",59790002,"Hypernasality of vowels and voiced consonants (finding)","finding"
"2724",59811005,"Compensation (finding)","finding"
"2725",59828008,"Hemolytic crisis (finding)","finding"
"2726",59847006,"Normal monocyte production (finding)","finding"
"2727",59878005,"Occupation-related social factor (finding)","finding"
"2728",59890007,"Paralytic lagophthalmos (finding)","finding"
"2729",59901004,"Cheek biting (finding)","finding"
"2730",59931005,"Inverted T wave (finding)","finding"
"2731",59932003,"Cervical effacement, 50% (finding)","finding"
"2732",59935001,"Functional heart murmur (finding)","finding"
"2733",59948002,"Chest tympanitic to percussion (finding)","finding"
"2734",59971000,"Determination of outcome, unsatisfactory to patient (finding)","finding"
"2735",59976005,"Increased belching (finding)","finding"
"2736",59978006,"Cigar smoker (finding)","finding"
"2737",59983003,"Disability evaluation, disability 80% (finding)","finding"
"2738",59994004,"Hacking cough (finding)","finding"
"2739",60001007,"Not pregnant (finding)","finding"
"2740",60032008,"Unable to concentrate (finding)","finding"
"2741",60043000,"Midabdominal crampy pain (finding)","finding"
"2742",60119000,"Exhaustion (finding)","finding"
"2743",60181007,"Allelic exclusion (finding)","finding"
"2744",60238002,"Muscle twitch (finding)","finding"
"2745",60241006,"Female urinary stress incontinence (finding)","finding"
"2746",60259009,"Onychotillomania (finding)","finding"
"2747",60275007,"International Federation of Gynecology and Obstetrics endometrial cancer stage I B (finding)","finding"
"2748",60280003,"Normal intraocular pressure (finding)","finding"
"2749",60317006,"Pattern sensitive seizure (finding)","finding"
"2750",60328005,"Previous pregnancies 4 (finding)","finding"
"2751",60333009,"Clinical stage II (finding)","finding"
"2752",60393006,"Juvenile homoerotism (finding)","finding"
"2753",60411006,"Misery and unhappiness reaction of childhood (finding)","finding"
"2754",60427004,"Mediastinal crunch (finding)","finding"
"2755",60439007,"Decreased serum protein level (finding)","finding"
"2756",60466007,"Abnormal airflow (finding)","finding"
"2757",60484009,"Conditional prognosis (finding)","finding"
"2758",60508007,"Fetal lateroflexion (finding)","finding"
"2759",60537006,"Whooping respiration (finding)","finding"
"2760",60564007,"Harrison's sulcus (finding)","finding"
"2761",60569002,"Normal ventilation-perfusion ratio (finding)","finding"
"2762",60585007,"Slum area living (finding)","finding"
"2763",60612008,"Abnormal bowel sounds (finding)","finding"
"2764",60704006,"Penile erection (finding)","finding"
"2765",60721002,"Fourth heart sound, S>4<, inaudible (finding)","finding"
"2766",60728008,"Swollen abdomen (finding)","finding"
"2767",60735000,"Lagophthalmos (finding)","finding"
"2768",60742000,"Avoidance-avoidance conflict (finding)","finding"
"2769",60745003,"Patient status determination, moderately improved (finding)","finding"
"2770",60814007,"Antisocial behavior (finding)","finding"
"2771",60815008,"Grade not determined (finding)","finding"
"2772",60818005,"Aphagia (finding)","finding"
"2773",60844005,"Genetic inversion (finding)","finding"
"2774",60845006,"Dyspnea on exertion (finding)","finding"
"2775",60854009,"Left mentoanterior position (finding)","finding"
"2776",60862001,"Tinnitus (finding)","finding"
"2777",60887008,"Bogginess of perirectal tissues (finding)","finding"
"2778",60929008,"Miscellaneous diet (finding)","finding"
"2779",60942008,"Diffuse organ or tissue uptake (finding)","finding"
"2780",61026006,"G3 grade (finding)","finding"
"2781",61070002,"Erythrophagocytosis (finding)","finding"
"2782",61072005,"Social factor (finding)","finding"
"2783",61086009,"Pulse irregular (finding)","finding"
"2784",61096000,"Disinterment for establishment of cause of death (finding)","finding"
"2785",61102007,"Glasgow coma scale, 11 (finding)","finding"
"2786",61135002,"Residual proteinuria (finding)","finding"
"2787",61199005,"Elementary hallucination (finding)","finding"
"2788",61264001,"Pain self-management deficit, acute (finding)","finding"
"2789",61281005,"Bloodstained sputum (finding)","finding"
"2790",61282003,"Beevor's sign (finding)","finding"
"2791",61294007,"Thin build (finding)","finding"
"2792",61335007,"Regional ventilation differences (finding)","finding"
"2793",61372001,"Aggressive behavior (finding)","finding"
"2794",61373006,"Bacteriuria (finding)","finding"
"2795",61387006,"Moderate anxiety (finding)","finding"
"2796",61416008,"Disability evaluation, disability 90% (finding)","finding"
"2797",61432006,"Normal breast function (finding)","finding"
"2798",61469009,"Decreased erythrocyte destruction (finding)","finding"
"2799",61475000,"Normal erythrocyte production (finding)","finding"
"2800",61486003,"Sacral back pain (finding)","finding"
"2801",61515005,"Abnormal increase in number (finding)","finding"
"2802",61539000,"Normal bowel sounds (finding)","finding"
"2803",61552005,"Ventricular rhythm from artificial pacing (finding)","finding"
"2804",61578001,"Abnormal digestive tract function (finding)","finding"
"2805",61609004,"Gram-positive cocci in chains (finding)","finding"
"2806",61618002,"Normal cardiovascular function (finding)","finding"
"2807",61668005,"Gene re-arrangement, gamma chain, T cell antigen receptor (finding)","finding"
"2808",61683000,"Drop attack (finding)","finding"
"2809",61691009,"Adiadochokinesia (finding)","finding"
"2810",61712006,"Transient gluten sensitivity (finding)","finding"
"2811",61721007,"Counterclockwise vectorcardiographic loop (finding)","finding"
"2812",61745006,"High protein, high fat, low carbohydrate diet (finding)","finding"
"2813",61828008,"Lysogeny (finding)","finding"
"2814",61846002,"Male adolescent aberrant sex behavior (finding)","finding"
"2815",61861001,"Speed of associations (finding)","finding"
"2816",61881000,"Osiander's sign (finding)","finding"
"2817",61917005,"Bitemporal hemianopia (finding)","finding"
"2818",61926008,"Basal systolic thrill (finding)","finding"
"2819",61932003,"Paradoxical cardiac wall motion (finding)","finding"
"2820",62085005,"Grunting respiration (finding)","finding"
"2821",62098001,"Head of fetus not engaged (finding)","finding"
"2822",62117008,"Bacterial antibody increase, paired specimens (finding)","finding"
"2823",62166005,"Hysterical fever (finding)","finding"
"2824",62171003,"Plantar heel pain (finding)","finding"
"2825",62222003,"Normal vascular flow (finding)","finding"
"2826",62315008,"Diarrhea (finding)","finding"
"2827",62327006,"Milking sign (finding)","finding"
"2828",62330004,"Decreased muscle function (finding)","finding"
"2829",62331000,"Six previous induced terminations of pregnancy (finding)","finding"
"2830",62333002,"Gestation period, 13 weeks (finding)","finding"
"2831",62334008,"Athetotic gait (finding)","finding"
"2832",62391003,"Postoperative sterility (finding)","finding"
"2833",62415009,"Delayed articulatory and language development (finding)","finding"
"2834",62427007,"Bovine cough (finding)","finding"
"2835",62436006,"Abnormal jugular venous pressure (finding)","finding"
"2836",62452009,"Subjective tinnitus (finding)","finding"
"2837",62455006,"N0 category (finding)","finding"
"2838",62458008,"Has religious belief (finding)","finding"
"2839",62472004,"Cervix fully dilated (finding)","finding"
"2840",62476001,"Disorientated (finding)","finding"
"2841",62502003,"Inhalation of liquid in lower respiratory tract (finding)","finding"
"2842",62507009,"Pins and needles (finding)","finding"
"2843",62548007,"Nocturnal cough (finding)","finding"
"2844",62574001,"Erythropenia (finding)","finding"
"2845",62602005,"Organic disease present (finding)","finding"
"2846",62607004,"Orgasm incapacity (finding)","finding"
"2847",62618004,"Early morning cough (finding)","finding"
"2848",62640008,"Fine respiratory crackles (finding)","finding"
"2849",62682007,"50 gram fat diet (finding)","finding"
"2850",62691006,"Determination of outcome, death avoidable, error in judgement (finding)","finding"
"2851",62704000,"High temperature acclimation (finding)","finding"
"2852",62709005,"Suburban dweller (finding)","finding"
"2853",62718007,"Dribbling from mouth (finding)","finding"
"2854",62731002,"Increasing frequency of cough (finding)","finding"
"2855",62744007,"Orthopnea (finding)","finding"
"2856",62766000,"Disorientation for person (finding)","finding"
"2857",62774004,"Cervical dilatation, 9cm (finding)","finding"
"2858",62781006,"Increased platelet destruction (finding)","finding"
"2859",62788000,"Cannibalism (finding)","finding"
"2860",62917007,"Abnormal vaginal odor (finding)","finding"
"2861",62938001,"Normal strength-duration relationship of nerve cell and nerve fiber (finding)","finding"
"2862",62967000,"Cardiac murmur, intensity grade VI/VI (finding)","finding"
"2863",62978008,"Autosensitivity (finding)","finding"
"2864",62988009,"Grey Turner's sign (finding)","finding"
"2865",63000007,"Spasmodic cough (finding)","finding"
"2866",63017000,"Normal gastric motility (finding)","finding"
"2867",63038006,"Specimen obscured by inflammation (finding)","finding"
"2868",63049000,"Normal ossification (finding)","finding"
"2869",63063006,"Visual acuity, no light perception (finding)","finding"
"2870",63092005,"Immediate skin test reaction (finding)","finding"
"2871",63110000,"Gestation period, 7 weeks (finding)","finding"
"2872",63157004,"Parieto-occipital aphasia (finding)","finding"
"2873",63192007,"Decreased uric acid level (finding)","finding"
"2874",63195009,"Sexual exhaustion (finding)","finding"
"2875",63214000,"Vagal apnea (finding)","finding"
"2876",63225009,"Offensive body odor (finding)","finding"
"2877",63234004,"Divorce, life event (finding)","finding"
"2878",63238001,"Dead on arrival at hospital (finding)","finding"
"2879",63325007,"Molecular aggregation (finding)","finding"
"2880",63342001,"Sunsetting eyes (finding)","finding"
"2881",63384009,"Distorted body image (finding)","finding"
"2882",63395003,"Folie à trois (finding)","finding"
"2883",63416000,"Dyslalia (finding)","finding"
"2884",63432002,"Excellent therapeutic response (finding)","finding"
"2885",63437008,"Anosodiaphoria (finding)","finding"
"2886",63438003,"Coitus condomatus (finding)","finding"
"2887",63460000,"Abnormal vocal quality (finding)","finding"
"2888",63491006,"Intermittent claudication (finding)","finding"
"2889",63503002,"Gestation period, 41 weeks (finding)","finding"
"2890",63514004,"Reinnervation (finding)","finding"
"2891",63526009,"Cardiac semi-soft 2 gram sodium diet (finding)","finding"
"2892",63532004,"Multiple diverticula of intestine (finding)","finding"
"2893",63537005,"Protected sexual intercourse (finding)","finding"
"2894",63557009,"Sex exploration (finding)","finding"
"2895",63569001,"Defective metabolism (finding)","finding"
"2896",63583004,"Solitary aggregation (finding)","finding"
"2897",63642005,"Superficial crackling rales (finding)","finding"
"2898",63672004,"Absent skin test reaction (finding)","finding"
"2899",63693001,"Genetic transformation (finding)","finding"
"2900",63708008,"Spinster (finding)","finding"
"2901",63721001,"Victim of armed conflict (finding)","finding"
"2902",63740007,"Mechanical regular diet (finding)","finding"
"2903",63749008,"Atrial rhythm from artificial pacing (finding)","finding"
"2904",63755003,"Glove anesthesia (finding)","finding"
"2905",63791005,"Anadicrotic pulse (finding)","finding"
"2906",63829008,"Thin nails (finding)","finding"
"2907",63836009,"Voice cluster (finding)","finding"
"2908",63851000,"Disinterment for recovery of objects (finding)","finding"
"2909",63884000,"Acute failure (finding)","finding"
"2910",63901009,"Pain in testicle (finding)","finding"
"2911",63919000,"R factor (finding)","finding"
"2912",63944008,"Diastolic rumble (finding)","finding"
"2913",63973006,"Seduction of female (finding)","finding"
"2914",63976003,"Normal variation in weight (finding)","finding"
"2915",63993003,"Remittent fever (finding)","finding"
"2916",64031009,"Masochistic behavior (finding)","finding"
"2917",64034001,"Seminal emission (finding)","finding"
"2918",64044004,"Self-esteem disturbance (finding)","finding"
"2919",64062008,"Clinical stage III B (finding)","finding"
"2920",64085009,"Rhythm method of contraception (finding)","finding"
"2921",64088006,"Hyperviscosity (finding)","finding"
"2922",64113006,"Exhaustion due to excessive exertion (finding)","finding"
"2923",64184006,"Strained hoarse voice arrest-intermittent rhythmic group (finding)","finding"
"2924",64195000,"Genetic variation (finding)","finding"
"2925",64198003,"Apgar score 9 (finding)","finding"
"2926",64202001,"Clinical stage IV E (finding)","finding"
"2927",64205004,"Subcutaneous crepitus (finding)","finding"
"2928",64206003,"Hypomenorrhea (finding)","finding"
"2929",64245008,"Propositus (finding)","finding"
"2930",64266000,"Sister-sister sex play (finding)","finding"
"2931",64269007,"Visual hallucinations (finding)","finding"
"2932",64270008,"Disturbance of understanding (finding)","finding"
"2933",64300006,"Oxalate restricted diet (finding)","finding"
"2934",64313000,"Alteration in family processes (finding)","finding"
"2935",64314006,"Risus sardonicus (finding)","finding"
"2936",64336009,"Incoherent thinking (finding)","finding"
"2937",64342008,"Adult disease (finding)","finding"
"2938",64379006,"Decrease in appetite (finding)","finding"
"2939",64412006,"Red stools (finding)","finding"
"2940",64418005,"Paracentral scotoma (finding)","finding"
"2941",64423005,"Normal motivation (finding)","finding"
"2942",64433002,"Left sacroanterior position (finding)","finding"
"2943",64445006,"Glare (finding)","finding"
"2944",64457002,"Cutis anserina (finding)","finding"
"2945",64460009,"Hyperalimentation formula for intestinal fistula (finding)","finding"
"2946",64495007,"Flail arm (finding)","finding"
"2947",64503007,"Mucoid sputum (finding)","finding"
"2948",64514005,"Delusional perception (finding)","finding"
"2949",64531003,"Nasal discharge (finding)","finding"
"2950",64541000,"Postpartum period, 3 days (finding)","finding"
"2951",64553001,"Secretor gene absent (se) (finding)","finding"
"2952",64574000,"Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage IIB (finding)","finding"
"2953",64661000,"Thready pulse (finding)","finding"
"2954",64668006,"Sensitized leukocyte (finding)","finding"
"2955",64697009,"Thermal anesthesia (finding)","finding"
"2956",64712007,"Echolalia (finding)","finding"
"2957",64730000,"Normal sinus rhythm (finding)","finding"
"2958",64737002,"Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage IB (finding)","finding"
"2959",64750001,"Sublimation - mental defense mechanism (finding)","finding"
"2960",64761009,"General body function not assigned (finding)","finding"
"2961",64781005,"Bacterial colony shape, circular (finding)","finding"
"2962",64798005,"Widened arterial pulse pressure (finding)","finding"
"2963",64826008,"Normal blood volume (finding)","finding"
"2964",64828009,"Mithridatism (finding)","finding"
"2965",64877001,"Clinical stage III S (finding)","finding"
"2966",64920003,"Gestation period, 31 weeks (finding)","finding"
"2967",64964006,"Hyperresonance (finding)","finding"
"2968",64970000,"Substance type unknown (finding)","finding"
"2969",64996003,"Intermenstrual bleeding - irregular (finding)","finding"
"2970",65035007,"Gestation period, 22 weeks (finding)","finding"
"2971",65078002,"Automatic micturition (finding)","finding"
"2972",65087006,"Weak M phenotype (finding)","finding"
"2973",65103009,"Galeazzi's sign (finding)","finding"
"2974",65108000,"At risk for violence (finding)","finding"
"2975",65113001,"Deoxyribonucleic acid repair (finding)","finding"
"2976",65118005,"Marital problems (finding)","finding"
"2977",65124004,"Swelling (finding)","finding"
"2978",65133002,"Physiologic scotoma (finding)","finding"
"2979",65135009,"Knight's move in thought (finding)","finding"
"2980",65188003,"Venospasm (finding)","finding"
"2981",65209002,"Basophilia (finding)","finding"
"2982",65235001,"Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage I (finding)","finding"
"2983",65247007,"Gene re-arrangement, T lymphocyte (finding)","finding"
"2984",65254001,"Late systolic murmur (finding)","finding"
"2985",65264005,"Macromolecular nicking (finding)","finding"
"2986",65306007,"International Federation of Gynecology and Obstetrics vulvar melanoma stage II (finding)","finding"
"2987",65336003,"Cervical effacement, 60% (finding)","finding"
"2988",65367001,"Victim status (finding)","finding"
"2989",65375007,"Postpartum state, 6 weeks (finding)","finding"
"2990",65420004,"Abnormal vocal flexibility (finding)","finding"
"2991",65421000,"Living in tent (finding)","finding"
"2992",65476007,"Abnormal size (finding)","finding"
"2993",65503000,"Absent breath sounds (finding)","finding"
"2994",65526007,"Pleuropericardial friction rub (finding)","finding"
"2995",65533007,"Sensitized platelet (finding)","finding"
"2996",65536004,"International Federation of Gynecology and Obstetrics vulvar melanoma stage III (finding)","finding"
"2997",65565005,"T4 category (finding)","finding"
"2998",65568007,"Cigarette smoker (finding)","finding"
"2999",65579002,"Chronic renal failure diet (finding)","finding"
"3000",65603008,"Psychiatric sign (finding)","finding"
"3001",65664004,"Rhonchal fremitus (finding)","finding"
"3002",65683006,"Gestation period, 17 weeks (finding)","finding"
"3003",65712000,"No microscopic confirmation - clinically benign tumor (finding)","finding"
"3004",65727000,"Intrauterine pregnancy (finding)","finding"
"3005",65740005,"Increased forced expiratory volume (finding)","finding"
"3006",65761003,"Inflammatory pain (finding)","finding"
"3007",65770000,"Increased fertility (finding)","finding"
"3008",65771001,"Heterologous state (finding)","finding"
"3009",65782009,"Hutchinson's facies (finding)","finding"
"3010",65783004,"Conjugative plasmid (finding)","finding"
"3011",65797007,"Labile personality trait (finding)","finding"
"3012",65798002,"Molecular cross-linking (finding)","finding"
"3013",65809005,"Cervical effacement, 40% (finding)","finding"
"3014",65864002,"Organic voice tremor (finding)","finding"
"3015",65870008,"Fetor hepaticus (finding)","finding"
"3016",65872000,"Fair prognosis (finding)","finding"
"3017",65927007,"Low frequency muscle fatigue (finding)","finding"
"3018",65949001,"Increased breath sounds (finding)","finding"
"3019",65958008,"Hiccoughs (finding)","finding"
"3020",66022007,"Vocal motor amusia (finding)","finding"
"3021",66085007,"Stocking anesthesia (finding)","finding"
"3022",66115002,"Molecular instability (finding)","finding"
"3023",66118000,"Abnormal skin pH (finding)","finding"
"3024",66130006,"Left to right cardiovascular shunt (finding)","finding"
"3025",66187002,"Fatty stool (finding)","finding"
"3026",66190008,"Victim of trauma with multiple injuries (finding)","finding"
"3027",66227006,"Adjunctive behavior (finding)","finding"
"3028",66230004,"Reciprocal rhythm (finding)","finding"
